id,datetime,action,request_length,response_length,processing_time
698841033,20.04.2025 01:50:20,Start,0,234,0.12700796127319336
698841033,20.04.2025 01:50:21,Answer,58,106,0.666250467300415
542131761,20.04.2025 01:50:33,Answer,13,57,0.7798452377319336
731672112,20.04.2025 01:51:29,Joke,29,211,2.6480677127838135
731672112,20.04.2025 01:51:47,Answer,30,106,0.30126214027404785
698841033,20.04.2025 01:55:01,Answer,58,18,0.7645926475524902
698841033,20.04.2025 01:55:20,Answer,72,106,0.5599508285522461
698841033,20.04.2025 01:55:36,Answer,2,27,0.7096259593963623
387853716,20.04.2025 02:00:28,Answer,80,1389,7.213312387466431
387853716,20.04.2025 02:01:14,Answer,89,895,4.8779144287109375
387853716,20.04.2025 02:02:55,Answer,107,1887,8.92743468284607
370186339,20.04.2025 03:26:30,Start,0,240,0.24997830390930176
370186339,20.04.2025 03:27:03,Answer,14,612,4.13229513168335
370186339,20.04.2025 03:28:21,Joke,29,211,2.5876588821411133
370186339,20.04.2025 03:28:45,Answer,6,36,1.1141231060028076
370186339,20.04.2025 03:28:56,Answer,17,166,1.1494646072387695
352799286,20.04.2025 04:46:46,Start,0,232,0.23781561851501465
352799286,20.04.2025 04:47:17,Answer,18,303,2.857355833053589
352799286,20.04.2025 04:47:43,Answer,33,288,2.267780065536499
352799286,20.04.2025 04:48:08,Answer,38,130,0.8594534397125244
352799286,20.04.2025 04:49:04,Answer,12,55,0.655754804611206
352799286,20.04.2025 04:49:29,Answer,32,169,2.354227304458618
352799286,20.04.2025 04:49:52,Answer,18,1194,6.651139736175537
5040017147,20.04.2025 05:33:16,Start,0,236,0.2582712173461914
5040017147,20.04.2025 05:33:32,Answer,5,753,4.534847974777222
5040017147,20.04.2025 05:33:47,Answer,5,32,0.5816950798034668
5040017147,20.04.2025 05:33:53,Answer,6,30,0.6230604648590088
5040017147,20.04.2025 05:33:57,Answer,8,41,0.6019344329833984
5040017147,20.04.2025 05:34:07,Answer,22,202,1.2205076217651367
5040017147,20.04.2025 05:34:18,Answer,22,284,2.5676310062408447
5040017147,20.04.2025 05:34:41,Answer,56,542,4.26351523399353
5040017147,20.04.2025 05:35:10,Answer,61,102,1.0308055877685547
5040017147,20.04.2025 05:35:18,Answer,7,48,0.902163028717041
5040017147,20.04.2025 05:35:34,Answer,7,67,0.7149782180786133
5040017147,20.04.2025 05:35:45,Answer,17,260,2.565502882003784
5040017147,20.04.2025 05:36:03,Answer,7,337,3.089881420135498
5040017147,20.04.2025 05:36:08,Answer,9,152,1.0650758743286133
5040017147,20.04.2025 05:36:28,Answer,6,1621,8.584649562835693
5040017147,20.04.2025 05:40:50,Answer,6,122,0.9752025604248047
5040017147,20.04.2025 05:41:09,Answer,57,110,0.90496826171875
5040017147,20.04.2025 05:41:15,Answer,6,81,0.824373722076416
5040017147,20.04.2025 05:41:26,Answer,24,52,0.7147183418273926
5040017147,20.04.2025 05:41:32,Answer,7,78,0.8099849224090576
5040017147,20.04.2025 05:41:49,Answer,28,459,3.2507762908935547
5040017147,20.04.2025 05:44:57,Answer,3,161,1.094667911529541
5040017147,20.04.2025 05:45:00,Answer,5,352,2.607642412185669
5040017147,20.04.2025 05:45:04,Answer,12,21,0.43769025802612305
5040017147,20.04.2025 05:45:07,Answer,9,117,0.8909955024719238
5040017147,20.04.2025 05:45:09,Answer,5,56,0.709183931350708
5040017147,20.04.2025 05:45:11,Answer,6,162,0.9167079925537109
5040017147,20.04.2025 05:45:22,Answer,23,232,2.3818700313568115
5040017147,20.04.2025 05:45:51,Answer,17,116,0.9955999851226807
5040017147,20.04.2025 05:46:02,Answer,22,87,1.1356375217437744
5040017147,20.04.2025 05:50:32,Answer,6,415,3.063358783721924
1649213307,20.04.2025 07:01:45,Start,0,242,0.30752992630004883
1649213307,20.04.2025 07:02:08,Start,0,242,0.245772123336792
1649213307,20.04.2025 07:03:08,Answer,45,2214,10.559056520462036
1649213307,20.04.2025 07:05:12,Answer,84,1037,5.404545068740845
1301480790,20.04.2025 07:08:52,Start,0,247,0.23918962478637695
1301480790,20.04.2025 07:09:18,Joke,29,194,2.4528090953826904
1301480790,20.04.2025 07:09:27,Joke,29,194,2.505673885345459
1301480790,20.04.2025 07:09:34,Answer,6,30,0.5357885360717773
1301480790,20.04.2025 07:09:47,Answer,19,18,0.7015223503112793
1301480790,20.04.2025 07:09:59,Answer,11,282,2.5579769611358643
1301480790,20.04.2025 07:10:14,Answer,8,208,2.46026611328125
943235635,20.04.2025 07:14:55,Start,0,237,0.24419760704040527
943235635,20.04.2025 07:15:28,Answer,32,426,3.3317482471466064
943235635,20.04.2025 07:16:23,Answer,55,645,5.124713897705078
943235635,20.04.2025 07:17:01,Answer,29,65,0.8599543571472168
943235635,20.04.2025 07:17:19,Answer,26,1382,6.8096764087677
943235635,20.04.2025 07:19:06,Answer,52,1855,10.582411289215088
458086361,20.04.2025 07:19:58,Start,0,245,0.2389848232269287
458086361,20.04.2025 07:20:22,Answer,10,60,0.7147271633148193
458086361,20.04.2025 07:20:46,Answer,40,312,2.7371931076049805
943235635,20.04.2025 07:21:14,Answer,45,1420,9.0285325050354
458086361,20.04.2025 07:21:23,Answer,56,1874,8.707552671432495
458086361,20.04.2025 07:21:56,Answer,22,106,0.919144868850708
458086361,20.04.2025 07:22:05,Answer,13,176,1.1715104579925537
943235635,20.04.2025 07:22:23,Answer,50,2659,16.994423627853394
458086361,20.04.2025 07:22:24,Answer,14,45,0.6301589012145996
458086361,20.04.2025 07:22:51,Answer,44,2493,11.918890476226807
943235635,20.04.2025 07:24:03,Answer,38,543,3.877135753631592
458086361,20.04.2025 07:24:12,Answer,47,21,0.5497028827667236
458086361,20.04.2025 07:24:29,Answer,33,208,2.344092607498169
943235635,20.04.2025 07:24:41,Answer,47,504,3.3585188388824463
458086361,20.04.2025 07:24:55,Answer,19,202,2.3501529693603516
458086361,20.04.2025 07:25:07,Answer,28,84,0.7970619201660156
458086361,20.04.2025 07:25:19,Answer,24,54,0.6594629287719727
458086361,20.04.2025 07:25:58,Answer,97,40,0.686431884765625
458086361,20.04.2025 07:26:13,Answer,29,240,2.2552545070648193
352799286,20.04.2025 07:26:25,Answer,3,184,2.232332944869995
458086361,20.04.2025 07:26:37,Answer,51,62,0.6726124286651611
458086361,20.04.2025 07:26:57,Answer,45,89,0.8511795997619629
458086361,20.04.2025 07:27:16,Answer,26,98,0.7878174781799316
951082274,20.04.2025 07:56:17,Start,0,239,0.2567412853240967
951082274,20.04.2025 07:56:22,Joke,29,210,2.6151793003082275
294631269,20.04.2025 08:18:10,Start,0,246,0.25888991355895996
294631269,20.04.2025 08:18:28,Joke,29,194,2.4405550956726074
294631269,20.04.2025 08:18:58,Joke,29,211,2.484419584274292
294631269,20.04.2025 08:19:06,Joke,29,210,2.560784101486206
294631269,20.04.2025 08:19:13,Answer,24,87,0.8175227642059326
294631269,20.04.2025 08:19:28,Answer,8,53,0.6758863925933838
294631269,20.04.2025 08:19:37,Answer,14,85,0.8381795883178711
294631269,20.04.2025 08:19:57,Answer,19,1554,7.181726455688477
294631269,20.04.2025 08:22:08,Answer,23,1844,9.142256021499634
499133628,20.04.2025 08:22:53,Start,0,233,0.23623085021972656
499133628,20.04.2025 08:23:04,Start,0,233,0.2496027946472168
499133628,20.04.2025 08:23:11,Joke,29,194,2.495471715927124
499133628,20.04.2025 08:23:19,Help,0,140,0.1605370044708252
499133628,20.04.2025 08:23:29,Answer,4,506,3.722529411315918
499133628,20.04.2025 08:23:43,Answer,12,672,4.753394603729248
499133628,20.04.2025 08:23:47,Answer,7,106,0.32207441329956055
542131761,20.04.2025 08:34:29,Answer,12,48,0.732013463973999
542131761,20.04.2025 08:34:40,Answer,29,82,0.7755975723266602
885638033,20.04.2025 09:25:03,Start,0,235,0.23541522026062012
885638033,20.04.2025 09:26:29,Answer,93,648,3.8650765419006348
885638033,20.04.2025 09:26:59,Answer,20,65,0.685584545135498
885638033,20.04.2025 09:27:13,Answer,29,455,3.1877052783966064
885638033,20.04.2025 09:27:42,Answer,22,123,1.0178442001342773
885638033,20.04.2025 09:28:27,Answer,99,156,1.1959760189056396
885638033,20.04.2025 09:30:54,Answer,391,106,0.35517358779907227
885638033,20.04.2025 09:47:17,Answer,78,668,4.01450777053833
885638033,20.04.2025 09:47:56,Answer,40,856,4.621432542800903
885638033,20.04.2025 09:48:23,Answer,27,65,0.7967362403869629
885638033,20.04.2025 09:48:32,Answer,25,79,0.976691484451294
885638033,20.04.2025 09:48:51,Answer,20,6,0.550255537033081
885638033,20.04.2025 09:49:09,Answer,30,282,2.4937069416046143
885638033,20.04.2025 09:49:30,Answer,26,142,1.0301170349121094
885638033,20.04.2025 09:49:47,Answer,34,798,4.472695350646973
885638033,20.04.2025 09:50:23,Answer,52,1507,7.703976154327393
1301480790,20.04.2025 09:53:42,Answer,19,228,2.4129252433776855
1301480790,20.04.2025 09:53:55,Answer,8,330,2.6618824005126953
885638033,20.04.2025 09:56:35,Answer,89,129,1.224653720855713
209941221,20.04.2025 10:06:05,Start,0,245,0.255939245223999
209941221,20.04.2025 10:06:08,Answer,7,30,0.4959747791290283
209941221,20.04.2025 10:06:15,Joke,29,194,2.453666925430298
209941221,20.04.2025 10:06:31,Joke,29,211,2.6270570755004883
209941221,20.04.2025 10:06:36,Help,0,140,0.09690165519714355
209941221,20.04.2025 10:06:40,Start,0,245,0.15282392501831055
209941221,20.04.2025 10:06:51,Answer,22,372,2.8417818546295166
209941221,20.04.2025 10:07:02,Answer,23,100,1.0985565185546875
5761389361,20.04.2025 11:09:54,Start,0,237,0.5159473419189453
5761389361,20.04.2025 11:10:05,Joke,29,210,2.536856174468994
5761389361,20.04.2025 11:10:18,Help,0,140,0.2319788932800293
5761389361,20.04.2025 11:10:28,Joke,29,211,2.5522820949554443
5761389361,20.04.2025 11:10:37,Joke,29,194,3.0287251472473145
5761389361,20.04.2025 11:10:57,Answer,36,268,2.4851255416870117
5761389361,20.04.2025 11:11:36,Answer,23,616,4.021768808364868
5761389361,20.04.2025 11:11:49,Answer,9,33,0.6485059261322021
5174639956,20.04.2025 11:17:09,Start,0,241,0.27333688735961914
5174639956,20.04.2025 11:17:39,Answer,19,153,0.9674925804138184
5174639956,20.04.2025 11:18:10,Answer,14,263,2.374509334564209
5174639956,20.04.2025 11:18:21,Answer,4,55,0.8083896636962891
387853716,20.04.2025 12:03:27,Answer,1305,2400,12.56007170677185
387853716,20.04.2025 12:08:59,Answer,496,1981,11.718220710754395
387853716,20.04.2025 12:09:39,Answer,464,919,5.838830471038818
387853716,20.04.2025 12:10:28,Answer,519,1117,6.406093597412109
387853716,20.04.2025 12:11:03,Answer,541,1207,7.539333343505859
249965389,20.04.2025 12:48:56,Start,0,249,0.35347676277160645
249965389,20.04.2025 12:49:17,Joke,29,85,1.0693693161010742
249965389,20.04.2025 12:49:41,Answer,29,1368,7.284983158111572
